# KG estratto dalle lezioni BigBang di Prometeo
# Relazioni: SIMILAR_TO (cluster Kaikki), OPPOSITE_OF (antonimi)
# soggetto	RELAZIONE	oggetto
gioventù	OPPOSITE_OF	vecchiaia
giovinezza	OPPOSITE_OF	vecchiaia
giustificabile	OPPOSITE_OF	ingiustificabile
giustificato	OPPOSITE_OF	ingiustificato
giusto	OPPOSITE_OF	errato
giusto	OPPOSITE_OF	ingiusto
giusto	OPPOSITE_OF	sbagliato
globalizzare	OPPOSITE_OF	deglobalizzare
globalizzazione	OPPOSITE_OF	deglobalizzazione
gonfiare	OPPOSITE_OF	sgonfiare
gonfiare	OPPOSITE_OF	sgonfiarsi
gradevole	OPPOSITE_OF	sgradevole
grande	OPPOSITE_OF	scarso
grasso	OPPOSITE_OF	asciutto
grasso	OPPOSITE_OF	esile
grasso	OPPOSITE_OF	magro
grasso	OPPOSITE_OF	secco
grato	OPPOSITE_OF	ingrato
grato	OPPOSITE_OF	sgradito
grato	OPPOSITE_OF	spiacevole
